Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG
Audi,Gasoline,4,30,23
Audi,Gasoline,6,27,19
Audi,Gasoline,8,26,17
BMW,Gasoline,4,32,23
BMW,Gasoline,6,28,19
BMW,Gasoline,8,23,15
Cadillac,Gasoline,4,30,22
Cadillac,Gasoline,6,25,17
Cadillac,Gasoline,8,21,14
Chevrolet,Gasoline,4,31,21
Chevrolet,Gasoline,6,24,17
Chevrolet,Gasoline,8,23,15
Chrysler,Gasoline,4,36,23
Chrysler,Gasoline,6,29,20
Chrysler,Gasoline,8,25,16
Dodge,Gasoline,4,25,19
Dodge,Gasoline,6,27,18
Dodge,Gasoline,8,24,15
Ford,Gasoline,4,25,19
Ford,Gasoline,6,18,11
Ford,Gasoline,8,21,14
GMC,Gasoline,4,27,20
GMC,Gasoline,6,23,17
GMC,Gasoline,8,21,15
Infiniti,Gasoline,4,30,22
Infiniti,Gasoline,6,27,20
Infiniti,Gasoline,8,22,15
Jaguar,Gasoline,4,30,21
Jaguar,Gasoline,6,26,18
Jaguar,Gasoline,8,23,15
Jeep,Gasoline,4,31,24
Jeep,Gasoline,6,27,19
Jeep,Gasoline,8,22,14
Kia,Gasoline,4,33,27
Kia,Gasoline,6,25,18
Kia,Gasoline,8,23,15
Land Rover,Gasoline,4,27,20
Land Rover,Gasoline,6,23,17
Land Rover,Gasoline,8,19,14
Lexus,Gasoline,4,30,22
Lexus,Gasoline,6,28,21
Lexus,Gasoline,8,22,16
Mercedes-Benz,Gasoline,4,30,23
Mercedes-Benz,Gasoline,6,25,19
Mercedes-Benz,Gasoline,8,22,16
Nissan,Gasoline,4,31,26
Nissan,Gasoline,6,25,18
Nissan,Gasoline,8,20,14
Porsche,Gasoline,4,27,21
Porsche,Gasoline,6,26,19
Porsche,Gasoline,8,21,14
Ram,Gasoline,4,28,21
Ram,Gasoline,6,24,17
Ram,Gasoline,8,21,14
Toyota,Gasoline,4,35,32
Toyota,Gasoline,6,25,20
Toyota,Gasoline,8,18,13
